Experimental Data,,,,,,,,,,,,,,
,,,,,,RPM,,,,,,,,
Controlled Variables,,,,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Average,Absolute Uncertainty (raw),Absolute Uncertainty (rounded),Power (W),Absolute Uncertainty (W)
,,,0.03T,163.2,163.8,143.8,153.7,169.7,162.1,159.383,12.95,10,0.066,0.007
Mass on string: 20g ,,,0.04T,228.3,212.9,231.2,224.2,219.9,227.3,223.967,9.15,9,0.092,0.006
Power supplied to the rotor: 40W,,,0.05T,273.7,300.8,289.6,287.5,294.7,291.9,289.7,13.55,10,0.119,0.009
diameter of the shaft: 4cm,,Magnetic Field Strength (T),0.06T,328.1,324.7,343.6,315.9,339.6,342.7,332.433,13.85,10,0.135,0.01
,,,0.07T,356,355.4,345.2,353.2,368.7,363.9,357.067,11.75,10,0.147,0.009
,,,0.08T,383.1,383.8,385.9,386.3,380.8,381.3,383.533,2.75,3,0.157,0.006
,,,0.09T,401.3,401.4,410.9,391.8,398.2,405,401.433,9.55,10,0.164,0.009
,,,0.10T,419,405.5,403.4,417.3,403.5,417.4,411.017,7.8,8,0.168,0.008
